Year,REF_AREA,Country,Expenditure_name,value_raw,Unit_mult,Currency,Expenditure_Share %
1999,FIN,Finlande,Alcohol_Tobacco,3389.0,6,EUR,5.67
2000,FIN,Finlande,Other_Services,5890.0,6,EUR,9.37
2000,FIN,Finlande,Food,7921.0,6,EUR,12.6
2000,FIN,Finlande,Transport,8332.0,6,EUR,13.25
2000,FIN,Finlande,Housing_Utilities,15370.0,6,EUR,24.44
2000,FIN,Finlande,Recreation_Culture,7095.0,6,EUR,11.28
2000,FIN,Finlande,Household_Goods,3049.0,6,EUR,4.85
2000,FIN,Finlande,Health,2401.0,6,EUR,3.82
2000,FIN,Finlande,Clothing_Footwear,2893.0,6,EUR,4.6
2000,FIN,Finlande,Education,298.0,6,EUR,0.47
2000,FIN,Finlande,Restaurants_Hotels,4020.0,6,EUR,6.39
2000,FIN,Finlande,Communication,1971.0,6,EUR,3.13
2000,FIN,Finlande,Alcohol_Tobacco,3644.0,6,EUR,5.79
2001,FIN,Finlande,Other_Services,6285.0,6,EUR,9.48
2001,FIN,Finlande,Food,8454.0,6,EUR,12.76
2001,FIN,Finlande,Transport,8205.0,6,EUR,12.38
2001,FIN,Finlande,Housing_Utilities,16155.0,6,EUR,24.38
2001,FIN,Finlande,Recreation_Culture,7450.0,6,EUR,11.24
2001,FIN,Finlande,Household_Goods,3264.0,6,EUR,4.93
2001,FIN,Finlande,Health,2569.0,6,EUR,3.88
2001,FIN,Finlande,Clothing_Footwear,3046.0,6,EUR,4.6
2001,FIN,Finlande,Education,308.0,6,EUR,0.46
2001,FIN,Finlande,Communication,2191.0,6,EUR,3.31
2001,FIN,Finlande,Restaurants_Hotels,4267.0,6,EUR,6.44
2001,FIN,Finlande,Alcohol_Tobacco,4074.0,6,EUR,6.15
2002,FIN,Finlande,Other_Services,6255.0,6,EUR,9.07
2002,FIN,Finlande,Food,8624.0,6,EUR,12.51
2002,FIN,Finlande,Transport,8781.0,6,EUR,12.74
2002,FIN,Finlande,Housing_Utilities,17001.0,6,EUR,24.66
2002,FIN,Finlande,Recreation_Culture,7711.0,6,EUR,11.19
2002,FIN,Finlande,Household_Goods,3355.0,6,EUR,4.87
2002,FIN,Finlande,Health,2809.0,6,EUR,4.07
2002,FIN,Finlande,Clothing_Footwear,3211.0,6,EUR,4.66
2002,FIN,Finlande,Education,314.0,6,EUR,0.46
2002,FIN,Finlande,Restaurants_Hotels,4343.0,6,EUR,6.3
2002,FIN,Finlande,Communication,2295.0,6,EUR,3.33
2002,FIN,Finlande,Alcohol_Tobacco,4234.0,6,EUR,6.14
2003,FIN,Finlande,Other_Services,6282.0,6,EUR,8.69
2003,FIN,Finlande,Food,8992.0,6,EUR,12.44
2003,FIN,Finlande,Transport,9630.0,6,EUR,13.32
2003,FIN,Finlande,Housing_Utilities,17823.0,6,EUR,24.65
2003,FIN,Finlande,Recreation_Culture,8058.0,6,EUR,11.14
2003,FIN,Finlande,Household_Goods,3577.0,6,EUR,4.95
2003,FIN,Finlande,Health,2943.0,6,EUR,4.07
2003,FIN,Finlande,Clothing_Footwear,3396.0,6,EUR,4.7
2003,FIN,Finlande,Education,321.0,6,EUR,0.44
2003,FIN,Finlande,Communication,2339.0,6,EUR,3.23
2003,FIN,Finlande,Restaurants_Hotels,4608.0,6,EUR,6.37
2003,FIN,Finlande,Alcohol_Tobacco,4340.0,6,EUR,6.0
2004,FIN,Finlande,Other_Services,6661.0,6,EUR,8.88
2004,FIN,Finlande,Food,9138.0,6,EUR,12.18
2004,FIN,Finlande,Transport,9863.0,6,EUR,13.14
2004,FIN,Finlande,Housing_Utilities,18390.0,6,EUR,24.51
2004,FIN,Finlande,Recreation_Culture,8579.0,6,EUR,11.43
2004,FIN,Finlande,Household_Goods,3856.0,6,EUR,5.14
2004,FIN,Finlande,Health,3128.0,6,EUR,4.17
2004,FIN,Finlande,Clothing_Footwear,3574.0,6,EUR,4.76
2004,FIN,Finlande,Education,350.0,6,EUR,0.47
2004,FIN,Finlande,Restaurants_Hotels,4938.0,6,EUR,6.58
2004,FIN,Finlande,Communication,2452.0,6,EUR,3.27
2004,FIN,Finlande,Alcohol_Tobacco,4112.0,6,EUR,5.48
2005,FIN,Finlande,Alcohol_Tobacco,4135.0,6,EUR,5.29
2005,FIN,Finlande,Restaurants_Hotels,5259.0,6,EUR,6.72
